000001,quote_date,000012,000013,000016,000300,000903,000905,399001,399006,AXJO,DJI,FCHI,GDAXI,GSPC,GSPTSE,IPSA,IXIC,KS11,MICEXINDEXCF.ME,N225,NYA,RUT,TWII,VIX,XAX
3174.03,2018-05-14,164.25,217.35,2753.54,3909.29,3974.06,5967.55,10671.46,1830.98,6135.29980469,24899.4101562,5540.68017578,12977.7099609,2730.12988281,16085.5996094,5695.81982422,7411.31982422,2476.11010742,2357.62011719,22865.859375,12772.0302734,1600.33996582,10952.3896484,12.9300003052,2715.64990234
3163.26,2018-05-11,164.25,217.29,2724.72,3872.84,3926.4,5991.34,10634.3,1834.78,6116.20019531,24831.1699219,5541.93994141,13001.2402344,2727.7199707,15983.2998047,5702.85009766,7402.87988281,2477.70996094,2345.26000977,22758.4804688,12761.8203125,1606.79003906,10858.9804688,12.6499996185,2708.77001953
3174.41,2018-05-10,164.2,217.26,2729.4,3893.06,3943.08,6040.57,10729.77,1865.36,6118.70019531,24739.5292969,5545.95019531,13022.8701172,2723.07006836,15959.5,5710.45019531,7404.97021484,2464.15991211,2312.91992188,22497.1796875,12731.6396484,1603.70996094,10760.2099609,13.2299995422,2704.95996094
3159.15,2018-05-09,164.18,217.25,2717.24,3871.62,3920.66,6029.23,10689.07,1855.81,6108.0,24542.5390625,5534.62988281,12943.0595703,2697.79003906,15910.7998047,5664.20019531,7339.91015625,2443.97998047,,22408.8808594,12632.4902344,1596.05004883,10703.3496094,13.4200000763,2685.30004883
3161.5,2018-05-08,164.22,217.24,2722.88,3878.68,3931.69,6041.81,10707.8,1856.87,6091.89990234,24360.2109375,5521.93017578,12912.2099609,2671.91992188,15842.7001953,5644.81982422,7266.89990234,2449.81005859,2301.98999023,22508.6894531,12520.2402344,1586.39001465,10691.3798828,14.7100000381,2669.12011719
3136.64,2018-05-07,164.23,217.23,2683.85,3834.19,3875.16,6019.14,10626.51,1852.34,6084.5,24357.3203125,5531.41992188,12948.1396484,2672.62988281,15808.5996094,5645.83984375,7265.20996094,,2297.12011719,22467.1601562,12519.75,1578.94995117,10604.9101562,14.75,2665.16992188
3091.03,2018-05-04,164.16,217.16,2646.35,3774.6,3815.56,5909.29,10426.19,1814.85,6062.89990234,24262.5097656,5516.04980469,12819.5996094,2663.41992188,15729.4003906,5622.24023438,7209.62011719,2461.37988281,2289.4699707,,12493.3496094,1565.59997559,10529.3701172,14.7700004578,2654.56005859
3100.86,2018-05-03,164.12,217.14,2663.98,3793.0,3841.94,5910.61,10458.62,1826.79,6098.29980469,23930.1503906,5501.66015625,12690.1503906,2629.72998047,15621.5,5640.10009766,7088.14990234,2487.25,2274.07006836,,12392.5,1546.56005859,10514.1796875,15.8999996185,2612.97998047
3081.18,2018-05-02,163.98,217.12,2652.73,3763.65,3813.49,5855.32,10342.85,1801.57,6050.20019531,23924.9804688,5529.22021484,12802.25,2635.66992188,15627.9003906,5695.02001953,7100.89990234,2505.61010742,2306.41992188,22472.7792969,12418.0595703,1554.91003418,10618.8095703,15.970000267,2634.60009766
3082.23,2018-04-27,163.92,216.99,2653.54,3756.88,3809.33,5860.98,10324.47,1805.6,5953.60009766,24311.1894531,5483.18994141,12580.8701172,2669.90991211,15668.9003906,5690.47998047,7119.79980469,2492.39990234,2301.48999023,22467.8691406,12594.0195312,1556.23999023,10553.4296875,15.4099998474,2609.69995117
3075.03,2018-04-26,163.94,216.91,2666.02,3755.49,3821.98,5847.98,10292.12,1781.28,5910.79980469,24322.3398438,5453.58007812,12500.4697266,2666.93994141,15637.5996094,5679.64990234,7118.68017578,2475.63989258,2286.02001953,22319.609375,12582.9003906,1557.89001465,10488.5800781,16.2399997711,2596.7199707
3117.97,2018-04-25,163.92,216.87,2702.98,3828.7,3897.1,5959.42,10547.1,1819.41,,24083.8300781,5413.29980469,12422.2998047,2639.39990234,15509.7998047,5665.16992188,7003.74023438,2448.81005859,2253.5,22215.3203125,12517.8603516,1550.4699707,10559.9697266,17.8400001526,2579.15991211
3128.93,2018-04-24,163.91,216.85,2722.85,3843.49,3922.83,5957.19,10556.82,1806.86,5921.60009766,24024.1308594,5444.16015625,12550.8203125,2634.56005859,15477.0,5674.35009766,7007.35009766,2464.13989258,2253.77001953,22278.1191406,12514.0,1553.2800293,10579.5,18.0200004578,2559.81005859
3068.01,2018-04-23,163.93,216.82,2664.92,3766.33,3842.01,5823.92,10330.63,1753.05,5886.0,24448.6894531,5438.54980469,12572.3896484,2670.29003906,15552.0996094,5704.70019531,7128.60009766,2474.11010742,2250.98999023,22088.0390625,12610.7695312,1562.11999512,10697.1298828,16.3400001526,2588.13989258
3071.54,2018-04-20,163.96,216.72,2647.38,3760.85,3816.5,5880.84,10408.91,1782.81,5868.79980469,24462.9394531,5412.83007812,12540.5,2670.13989258,15484.2998047,5689.47021484,7146.12988281,2476.33007812,2232.65991211,22162.2402344,12607.1601562,1564.11999512,10779.3798828,16.8799991608,2582.41992188
3117.38,2018-04-19,163.92,216.63,2682.55,3811.84,3863.84,6004.73,10598.35,1820.28,5881.0,24664.890625,5391.64013672,12567.4199219,2693.12988281,15454.4003906,5697.47998047,7238.06005859,2486.10009766,2230.55004883,22191.1796875,12671.4804688,1573.81994629,10971.2197266,15.9600000381,2595.65991211
3091.4,2018-04-18,163.86,216.53,2653.77,3766.28,3812.76,5970.66,10491.15,1822.26,5861.39990234,24748.0703125,5380.16992188,12590.8300781,2708.63989258,15530.0,5690.79003906,7295.24023438,2479.97998047,2241.48999023,22158.1992188,12732.8496094,1583.56005859,10847.8896484,15.6000003815,2603.11010742
3066.8,2018-04-17,163.56,216.4,2635.7,3748.64,3795.89,5890.86,10395.16,1783.74,5841.5,24786.6308594,5353.54003906,12585.5703125,2706.38989258,15353.2998047,5633.39990234,7281.10009766,2453.77001953,2191.18994141,21847.5898438,12705.7597656,1579.80004883,10810.4501953,15.25,2579.86010742
3110.65,2018-04-16,163.49,216.33,2664.7,3808.86,3844.02,6012.41,10621.79,1838.71,5841.29980469,24573.0390625,5312.95996094,12391.4101562,2677.84008789,15300.4003906,5613.14013672,7156.27978516,2457.48999023,2143.66992188,21835.5292969,12628.2099609,1563.0300293,10954.5498047,16.5599994659,2565.9699707
3159.05,2018-04-13,163.38,216.22,2726.4,3871.14,3924.84,6027.19,10687.02,1824.59,5829.10009766,24360.140625,5315.02001953,12442.4003906,2656.30004883,15274.0,5630.89990234,7106.64990234,2455.07006836,2175.15991211,21778.7402344,12546.0498047,1549.51000977,10965.3896484,17.4099998474,2549.61010742
3180.16,2018-04-12,163.36,216.15,2749.7,3898.64,3958.6,6051.33,10726.96,1826.89,5815.5,24483.0507812,5309.22021484,12415.0097656,2663.98999023,15269.2998047,5630.99023438,7140.25,2442.70996094,2210.05004883,21660.2792969,12580.2197266,1557.32995605,10955.2900391,18.4899997711,2546.02001953
3208.08,2018-04-11,163.33,216.08,2785.34,3938.34,4007.79,6086.61,10808.37,1834.63,5828.70019531,24189.4492188,5277.93994141,12293.9697266,2642.18994141,15257.9003906,5613.81005859,7069.02978516,2444.2199707,2192.14990234,21687.0996094,12514.5898438,1546.80004883,10974.0195312,20.2399997711,2536.81005859
3190.32,2018-04-10,163.35,216.02,2780.8,3927.17,3993.29,6063.74,10765.62,1835.52,5857.0,24408.0,5307.56005859,12397.3203125,2656.87011719,15262.0996094,5605.85986328,7094.29980469,2450.73999023,2173.76000977,21794.3203125,12565.9697266,1543.43005371,10927.1796875,20.4699993134,2515.51000977
3138.29,2018-04-09,163.36,215.98,2715.73,3852.93,3903.66,6025.65,10653.38,1841.65,5808.70019531,23979.0996094,5263.39013672,12261.75,2613.15991211,15227.7001953,5632.70996094,6950.33984375,2444.08007812,2090.87988281,21678.2597656,12380.5498047,1514.45996094,10893.5302734,21.7700004578,2484.86010742
3131.11,2018-04-04,163.19,215.81,2702.37,3854.86,3905.43,6017.69,10684.56,1836.81,5761.39990234,24264.3007812,5141.79980469,11957.9003906,2644.68994141,15164.4003906,5542.79003906,7042.10986328,2408.06005859,2265.60009766,21319.5507812,12466.4501953,1531.66003418,,20.0599994659,2477.58007812
3136.63,2018-04-03,163.15,215.74,2697.27,3862.48,3898.58,6059.71,10754.29,1872.47,5751.89990234,24033.359375,5152.12011719,12002.4501953,2614.44995117,15180.7998047,5534.39990234,6941.27978516,2442.42993164,,21292.2890625,12367.0703125,1512.15002441,10821.5302734,21.1000003815,2454.52001953
3163.18,2018-04-02,163.07,215.68,2711.37,3886.92,3920.94,6121.96,10852.95,1900.25,,23644.1894531,,,2581.87988281,15213.5,5502.60009766,6870.12011719,2444.15991211,,21388.5800781,12216.7099609,1492.5300293,10888.2695312,23.6200008392,2432.29003906
3168.9,2018-03-30,162.96,215.58,2722.15,3898.5,3942.11,6114.74,10868.66,1900.48,,,,,,,,,2445.85009766,,21454.3007812,,,10906.2197266,,
3160.53,2018-03-29,162.89,215.54,2738.79,3894.05,3961.24,6034.86,10755.92,1842.19,5759.39990234,24103.109375,5167.29980469,12096.7304688,2640.87011719,15367.2998047,5542.22021484,7063.45019531,2436.37011719,,21159.0800781,12452.0595703,1529.43005371,10845.9199219,19.9699993134,2456.29003906
3122.29,2018-03-28,162.87,215.53,2694.83,3842.72,3893.0,5973.34,10630.69,1835.15,5789.5,23848.4199219,5130.43994141,11940.7099609,2605.0,15169.9003906,5466.62011719,6949.22998047,2419.29003906,,21031.3105469,12308.9003906,1513.0300293,10865.6601562,22.8700008392,2429.27001953
3166.65,2018-03-27,162.81,215.47,2747.59,3913.27,3974.87,6034.77,10775.71,1844.69,5832.29980469,23857.7109375,5115.74023438,11970.8300781,2612.62011719,15216.2001953,5480.31005859,7008.81005859,2452.06005859,,21317.3203125,12302.5400391,1513.56994629,10986.7900391,22.5,2442.87011719
3133.72,2018-03-26,162.82,215.42,2738.87,3879.89,3959.63,5902.96,10564.38,1780.61,5790.5,24202.5996094,5066.27978516,11787.2597656,2658.55004883,15298.5996094,5446.77001953,7220.54003906,2437.08007812,,20766.0996094,12433.1503906,1543.7199707,10840.0498047,21.0300006866,2454.16992188
3152.76,2018-03-23,162.76,215.32,2791.47,3904.94,4016.17,5787.15,10439.99,1726.02,5820.70019531,23533.1992188,5095.22021484,11886.3095703,2588.26000977,15223.7001953,5490.24023438,6992.66992188,2416.76000977,2285.5300293,20617.859375,12177.7001953,1510.07995605,10823.3300781,24.8700008392,2435.34008789
3263.48,2018-03-22,162.62,215.26,2866.67,4020.35,4118.34,6101.23,10877.25,1817.23,5937.20019531,23957.890625,5167.20996094,12100.0800781,2643.68994141,15399.9003906,5515.99023438,7166.68017578,2496.02001953,2285.76000977,21591.9902344,12377.3896484,1543.86999512,11005.8398438,23.3400001526,2456.18994141
3280.95,2018-03-21,162.57,215.19,2894.18,4061.05,4164.27,6129.2,10980.55,1829.91,5950.29980469,24682.3105469,5239.74023438,12309.1503906,2711.92993164,15675.2998047,5535.49023438,7345.29003906,2484.9699707,2309.36010742,,12683.7597656,1579.30004883,11011.0703125,17.8600006104,2503.19995117
3290.64,2018-03-20,162.52,215.18,2904.4,4077.7,4180.96,6173.7,11077.8,1864.62,5936.39990234,24727.2695312,5252.43017578,12307.3300781,2716.93994141,15616.4003906,5542.93017578,7364.29980469,2485.52001953,2291.17993164,21380.9707031,12663.6396484,1570.41003418,11010.8398438,18.2000007629,2456.58007812
3279.25,2018-03-19,162.44,215.14,2897.26,4074.25,4177.79,6153.83,11068.49,1842.92,5959.39990234,24610.9101562,5222.83984375,12217.0195312,2712.91992188,15589.4003906,5576.54003906,7344.24023438,2475.0300293,2281.7199707,21480.9003906,12651.4599609,1570.56005859,11046.9003906,19.0200004578,2450.10009766
3269.88,2018-03-16,162.39,215.06,2870.73,4056.42,4152.88,6146.31,11051.12,1821.32,5949.39990234,24946.5097656,5282.75,12389.5800781,2752.01000977,15711.2998047,5596.68017578,7481.99023438,2493.9699707,2294.60009766,21676.5097656,12784.3896484,1586.05004883,11027.7001953,15.8000001907,2481.33007812
3291.11,2018-03-15,162.36,215.03,2894.98,4096.16,4195.87,6180.11,11163.65,1848.71,5920.79980469,24873.6601562,5267.25976562,12345.5595703,2747.33007812,15670.5996094,5587.16015625,7481.74023438,2492.37988281,2272.48999023,21803.9492188,12743.6103516,1576.61999512,11018.4501953,16.5900001526,2455.38989258
3291.38,2018-03-14,162.35,215.01,2871.33,4073.34,4162.23,6189.32,11139.63,1841.29,5935.29980469,24758.1191406,5233.35986328,12237.7402344,2749.47998047,15653.5996094,5618.37988281,7496.81005859,2486.08007812,2275.23999023,21777.2890625,12762.6699219,1584.31005859,11038.7998047,17.2299995422,2467.15991211
3310.24,2018-03-13,162.36,215.0,2883.38,4091.25,4178.22,6254.15,11241.41,1872.68,5974.70019531,25007.0292969,5242.79003906,12221.0302734,2765.31005859,15647.0996094,5631.27978516,7511.00976562,2494.48999023,2319.37988281,21968.0996094,12831.75,1592.05004883,11095.6298828,16.3500003815,2478.84008789
3326.7,2018-03-12,162.35,215.0,2909.58,4127.67,4215.12,6295.78,11326.27,1882.41,5996.10009766,25178.609375,5276.70996094,12418.3896484,2783.02001953,15604.7998047,5654.02001953,7588.31982422,2484.12011719,2318.01000977,21824.0292969,12898.4003906,1601.06005859,11002.0996094,15.779999733,2496.5
3307.17,2018-03-09,162.3,214.93,2908.2,4108.87,4208.86,6206.98,11194.91,1856.46,5963.20019531,25335.7402344,5274.39990234,12346.6796875,2786.57006836,15577.7998047,5637.04003906,7560.81005859,2459.44995117,2311.68994141,21469.1992188,12918.8203125,1597.14001465,10864.8203125,14.6400003433,2499.17993164
3288.41,2018-03-08,162.28,214.91,2898.25,4077.6,4185.51,6131.51,11019.08,1793.22,5942.89990234,24895.2109375,5254.10009766,12355.5703125,2738.9699707,15538.7001953,5576.37011719,7427.95019531,2433.08007812,,21368.0703125,12745.0097656,1571.9699707,10823.2402344,16.5400009155,2480.37011719
3271.67,2018-03-07,162.21,214.88,2878.15,4036.65,4137.16,6086.49,10904.99,1785.27,5902.0,24801.359375,5187.83007812,12245.3603516,2726.80004883,15472.5996094,5549.64013672,7396.64990234,2401.82006836,2291.22998047,21252.7207031,12707.0097656,1574.5300293,10745.3203125,17.7600002289,2487.59008789
3289.64,2018-03-06,162.21,214.88,2892.48,4066.56,4164.89,6145.58,11007.95,1797.61,5962.39990234,24884.1191406,5170.22998047,12113.8701172,2728.12011719,15545.2001953,5548.20996094,7372.00976562,2411.40991211,2303.32006836,21417.7597656,12720.7695312,1562.19995117,10784.3398438,18.3600006104,2494.04003906
3256.93,2018-03-05,162.13,214.84,2863.99,4018.1,4118.86,6064.1,10875.68,1795.69,5959.5,24874.7597656,5167.22998047,12090.8701172,2720.93994141,15541.2998047,5538.52001953,7330.70996094,2375.06005859,2309.5300293,21042.0898438,12680.7304688,1546.05004883,10642.9003906,18.7299995422,2470.55004883
3254.53,2018-03-02,162.12,214.77,2864.18,4016.46,4122.09,6056.34,10856.25,1772.01,5928.89990234,24538.0605469,5136.58007812,11913.7099609,2691.25,15384.5996094,5545.47998047,7257.87011719,2402.15991211,2288.84008789,21181.640625,12557.9902344,1533.17004395,10698.1699219,19.5900001526,2449.73999023
3273.75,2018-03-01,162.1,214.76,2891.3,4049.09,4154.63,6090.22,10943.13,1789.85,5973.29980469,24608.9804688,5262.56005859,12190.9404297,2677.66992188,15394.0,5527.91992188,7180.56005859,,2297.89990234,21724.4707031,12518.7304688,1507.39001465,10785.7900391,22.4699993134,2447.38989258
3259.41,2018-02-28,162.05,214.87,2878.67,4023.64,4132.05,6023.68,10828.73,1753.63,6016.0,25029.1992188,5320.49023438,12435.8496094,2713.83007812,15442.7001953,5602.83007812,7273.00976562,2427.36010742,2296.80004883,22068.2402344,12652.5498047,1512.44995117,,19.8500003815,2452.26000977
