quote_date,240020_Nav,519069_Nav,460005_Nav,161005_Nav,166005_Nav,163412_Nav,002001_Nav
2013-07-24,1.5870,1.8130,1.7222,3.2252,1.0380,1.3550,3.6500
2013-07-23,1.5570,1.8210,1.7011,3.2225,1.0400,1.3250,3.6440
2013-07-22,1.5320,1.7910,1.6746,3.1911,1.0120,1.3030,3.6210
2013-07-19,1.4860,1.7840,1.6459,3.1669,1.0030,1.2670,3.6060
2013-07-18,1.5070,1.8090,1.6517,3.1837,1.0270,1.2850,3.6190
2013-07-17,1.5080,1.8230,1.6570,3.1961,1.0390,1.2850,3.6250
2013-07-16,1.5430,1.8420,1.6749,3.2164,1.0550,1.2930,3.6440
2013-07-15,1.5380,1.8410,1.6721,3.2035,1.0490,1.3020,3.6410
2013-07-12,1.5020,1.8180,1.6411,3.1646,1.0290,1.2520,3.6190
2013-07-11,1.4840,1.8350,1.6305,3.1654,1.0420,1.2300,3.6150
2013-07-10,1.4630,1.7910,1.6171,3.1332,1.0020,1.2140,3.5950
2013-07-09,1.4390,1.7590,1.5963,3.1008,0.9790,1.1890,3.5820
2013-07-08,1.4180,1.7630,1.5851,3.1078,0.9770,1.1710,3.5780
2013-07-05,1.4370,1.7930,1.6123,3.1404,1.0050,1.1970,3.5990
2013-07-04,1.4610,1.7930,1.6303,3.1406,1.0070,1.2310,3.6070
2013-07-03,1.4780,1.7870,1.6427,3.1269,1.0060,1.2450,3.6080
2013-07-02,1.4610,1.7890,1.6238,3.1224,1.0080,1.2250,3.5950
2013-07-01,1.4130,1.7720,1.5987,3.1038,0.9970,1.2080,3.5780
2013-06-30,1.3710,1.7500,1.5626,3.0802,0.9820,1.1630,3.5500
2013-06-28,1.3710,1.7500,1.5626,3.0804,0.9820,1.1630,3.5500
2013-06-27,1.3850,1.7210,1.5650,3.0644,0.9700,1.1520,3.5450
2013-06-26,1.3950,1.7270,1.5742,3.0771,0.9780,1.1550,3.5530
2013-06-25,1.3420,1.6980,1.5362,3.0457,0.9590,1.1030,3.5300
2013-06-24,1.3480,1.6900,1.5239,3.0388,0.9610,1.0880,3.5210
2013-06-21,1.4050,1.7570,1.5597,3.1044,1.0170,1.1360,3.5610
2013-06-20,1.3880,1.7590,1.5559,3.1080,1.0170,1.1430,3.5610
2013-06-19,1.4230,1.8020,1.5846,3.1479,1.0500,1.1930,3.5870
2013-06-18,1.4360,1.8110,1.5848,3.1619,1.0560,1.2110,3.5880
2013-06-17,1.4400,1.8020,1.5866,3.1566,1.0520,1.2180,3.5770
2013-06-14,1.4160,1.7920,1.5751,3.1631,1.0530,1.2040,3.5740
2013-06-13,1.3850,1.7680,1.5512,3.1291,1.0360,1.1700,3.5590
2013-06-07,1.3990,1.8030,1.5585,3.1610,1.0600,1.1870,3.5760
2013-06-06,1.4140,1.8200,1.5604,3.1780,1.0700,1.1890,3.5900
2013-06-05,1.4400,1.8400,1.5702,3.2003,1.0820,1.1970,3.6010
2013-06-04,1.4280,1.8340,1.5602,3.1965,1.0790,1.1990,3.6000
2013-06-03,1.4630,1.8600,1.5871,3.2163,1.0970,1.2160,3.6130
2013-05-31,1.4860,1.8700,1.6024,3.2216,1.1050,1.2480,3.6190
2013-05-30,1.4830,1.8790,1.6100,3.2439,1.1170,1.2550,3.6290
2013-05-29,1.4600,1.8780,1.6096,3.2483,1.1190,1.2560,3.6280
2013-05-28,1.4350,1.8710,1.5998,3.2476,1.1120,1.2430,3.6240
2013-05-27,1.4330,1.8600,1.6193,3.2356,1.1090,1.2680,3.6200
